code,capacity_per_k,longitude,latitude
01101,4.72799858883148,141.291962,43.056568
01101,4.276057547252,141.303238,43.040909
01101,3.476469550611383,141.273132,43.03577
01101,3.1288225955502447,141.322876,43.037189
01101,2.954999118019675,141.287109,43.044884
01101,2.781175640489106,141.34668,43.037006
01101,2.781175640489106,141.32077,43.04557
01101,2.781175640489106,141.323135,43.037331
01101,2.781175640489106,141.385742,43.069134
01101,2.781175640489106,141.343964,43.026077
01101,2.4335286854279676,141.323135,43.037331
01101,0.9386467786650733,141.303162,43.040977
01101,0.9386467786650733,141.30957,43.061863
01101,0.9386467786650733,141.342178,43.051327
01101,0.9386467786650733,141.370941,43.065784
01101,0.9386467786650733,141.348694,43.048557
01101,0.8343526921467317,141.346725,43.036957
01101,0.8343526921467317,141.365784,43.062988
01101,0.8343526921467317,141.346725,43.036957
01101,0.7648233011345041,141.343033,43.049782
01101,0.6257645191100489,141.311218,43.061241
01101,0.6257645191100489,141.338104,43.04208
01101,0.6257645191100489,141.329941,43.040287
01101,0.6257645191100489,141.340836,43.025578
01101,0.6257645191100489,141.348801,43.042583
01101,0.6257645191100489,141.345825,43.038925
01101,0.6257645191100489,141.321487,43.041565
01101,0.6257645191100489,141.339005,43.058052
01101,0.5214704325917073,141.32132,43.057606
01101,0.5214704325917073,141.365784,43.062988
01101,0.31288225955502447,141.331177,43.063557
01101,0.31288225955502447,141.336624,43.06749
01101,0.31288225955502447,141.347015,43.021503
01102,3.262995018075254,141.358276,43.164135
01102,2.674586080389552,141.357986,43.163773
01102,2.674586080389552,141.296844,43.130234
01102,2.674586080389552,141.341064,43.142941
01102,2.674586080389552,141.400986,43.155506
01102,2.219906446723328,141.367523,43.132095
01102,2.219906446723328,141.369446,43.141022
01102,2.1396688643116417,141.380478,43.127796
01102,2.1396688643116417,141.384338,43.159523
01102,2.1396688643116417,141.320801,43.106117
01102,2.1396688643116417,141.34169,43.143501
01102,2.1396688643116417,141.411789,43.164818
01102,2.1396688643116417,141.354507,43.125286
01102,2.1396688643116417,141.324265,43.144154
01102,2.1396688643116417,141.367676,43.147736
01102,1.7117350914493135,141.294891,43.118393
01102,1.6047516482337312,141.32193,43.104733
01102,1.2303095969791937,141.324387,43.091133
01102,0.7756299633129702,141.396912,43.153896
01102,0.7221382417051792,141.36554,43.142693
01102,0.7221382417051792,141.368042,43.14098
01102,0.6419006592934926,141.347992,43.124428
01102,0.561663076881806,141.324417,43.144855
01102,0.48142549447011934,141.290405,43.117531
01102,0.48142549447011934,141.367523,43.132095
01102,0.48142549447011934,141.382462,43.153385
01102,0.48142549447011934,141.306976,43.105125
01102,0.48142549447011934,141.347321,43.145458
01102,0.48142549447011934,141.357651,43.163509
01102,0.48142549447011934,141.351089,43.145969
01102,0.48142549447011934,141.401154,43.162754
01102,0.48142549447011934,141.361694,43.127743
01102,0.48142549447011934,141.389923,43.165565
01102,0.48142549447011934,141.331741,43.139175
01102,0.48142549447011934,141.337601,43.11375
