,code,capacity_per_k,longitude,latitude
1913,01581,10.505538169538376,141.859985,42.734444
1915,01584,43.63903968325992,140.82637,42.642254
1916,01584,29.753890693131765,140.748566,42.574692
1917,01584,24.794908910943136,140.84082,42.678307
1918,01584,14.381047168347019,140.869019,42.647076
1919,01584,8.92616720793953,140.769745,42.545254
1920,01584,4.463083603969765,140.764618,42.551113
1921,01585,20.975177974385105,141.820206,42.870178
1922,01585,13.983451982923407,141.819183,42.757183
1923,01585,12.585106784631066,141.809479,42.87394
1924,01585,12.585106784631066,141.823929,42.816856
1925,01585,6.292553392315533,141.812363,42.756603
1926,01585,6.292553392315533,141.809479,42.87394
1928,01586,61.487606558022165,142.129654,42.790371
1929,01586,49.19008524641772,141.916519,42.57238
1930,01586,9.223140983703326,141.911896,42.598408
1931,01586,5.533884590221994,142.129654,42.790371
1932,01601,38.16440653870777,142.069199,42.480137
1933,01601,23.852754086692357,142.051682,42.493568
1934,01601,14.311652452015412,142.439713,42.879528
1935,01601,4.293495735604624,142.018707,42.526012
1936,01601,4.293495735604624,142.018707,42.526012
1937,01602,64.13365921005989,142.13118,42.591858
1938,01602,3.498199593275994,142.302109,42.735939
1939,01604,77.6682655233898,142.310272,42.363354
1940,01604,32.17685285969006,142.307922,42.436123
1941,01604,1.1095466503341398,142.310272,42.363354
1942,01607,35.56715624462047,142.706573,42.20116
1943,01607,23.711437496413645,142.79837,42.169979
1944,01607,8.536117498708911,142.758255,42.178726
1945,01608,70.0641554116386,142.951859,42.131512
1946,01609,59.48893059723912,143.16452,42.048672
1948,01610,30.38914823775862,142.375946,42.339417
1949,01610,12.662145099066091,142.374405,42.33802
1950,01610,12.662145099066091,142.567017,42.254917
1951,01610,4.558372235663793,142.366089,42.346889
1952,01610,4.558372235663793,142.376511,42.344055
1953,01610,4.558372235663793,142.343735,42.342552
1954,01610,2.2791861178318964,142.369888,42.352951
1955,01610,2.2791861178318964,142.368317,42.335354
1956,01610,2.2791861178318964,142.3853,42.352768
1959,01631,18.060982002682962,143.192993,43.004093
1960,01631,15.050818335569133,143.198669,42.963894
1961,01631,15.050818335569133,143.192825,42.955353
1962,01631,10.836589201609776,143.192825,42.955353
1963,01631,4.364737317315049,143.211075,42.990292
1964,01631,4.364737317315049,143.211075,42.990292
1965,01631,2.709147300402444,143.217148,42.94278
1966,01631,2.709147300402444,143.215256,42.94265
1967,01631,2.709147300402444,143.202759,42.996799
1968,01631,2.709147300402444,143.20813,42.971085
1969,01631,2.709147300402444,143.206512,42.978306
1970,01631,2.709147300402444,143.203445,42.95145
1971,01631,2.709147300402444,143.207733,42.942501
1973,01632,110.67026879429397,143.250519,43.190041
1974,01632,15.51452366275149,143.250519,43.190041
1976,01633,52.50931515250805,143.30162,43.261906
1977,01633,52.50931515250805,143.294891,43.262714
1978,01633,21.003726061003224,143.294891,43.262714
1979,01633,18.9033534549029,143.30162,43.261906
1981,01634,116.19084578802374,143.018707,43.091923
1982,01634,34.857253736407124,142.997513,43.111996
1983,01634,23.238169157604748,142.997513,43.111996
1984,01635,42.446010796567315,142.824005,43.082546
1985,01635,24.61868626200904,142.83049,43.075478
1986,01635,16.978404318626925,142.824005,43.082546
1987,01635,7.640281943382115,142.826279,43.073536
1988,01635,7.640281943382115,142.905167,43.101673
1991,01636,33.13094010146902,142.882431,43.011177
1992,01636,16.013287715710028,142.936066,42.946266
1993,01636,16.013287715710028,142.882431,43.011177
1994,01636,9.939282030440708,142.882889,43.014122
1995,01636,4.969641015220354,142.882431,43.011177
1996,01636,4.969641015220354,142.911514,43.023651
1997,01636,4.969641015220354,142.946991,43.040459
2000,01637,35.0293738814683,143.092728,42.913059
2001,01637,28.02349910517464,143.052917,42.914082
2002,01637,14.01174955258732,143.05481,42.905453
2003,01637,6.305287298664295,143.075439,42.914986
2004,01637,6.305287298664295,143.092728,42.913059
2005,01637,6.305287298664295,143.052994,42.910591
2006,01637,6.305287298664295,143.052994,42.910591
2007,01637,3.1526436493321475,143.092728,42.913059
2009,01638,83.1512321349578,143.128174,42.696938
2010,01638,14.967221784292402,143.127319,42.695503
2011,01639,54.52470439149489,143.197174,42.658699
2012,01639,33.84291996713476,143.244888,42.606422
2014,01641,93.69498347688967,143.266846,42.502686
2015,01641,46.84749173844484,143.281723,42.488022
2016,01642,38.047667639926004,143.307083,42.299522
2017,01642,13.69716035037336,143.25737,42.413189
2018,01642,13.69716035037336,143.31044,42.28812
2020,01643,34.118234695242286,143.24971,42.909122
2021,01643,23.655309388701315,143.229172,42.897228
2022,01643,6.596192041080174,143.303574,42.55938
2023,01643,6.596192041080174,143.229172,42.897228
2024,01643,6.596192041080174,143.366653,42.919544
2025,01643,4.094188163429074,143.262283,42.913036
2026,01643,4.094188163429074,143.25238,42.920025
2027,01643,4.094188163429074,143.250519,42.920616
2028,01643,3.4118234695242284,143.250534,42.918472
2029,01643,3.4118234695242284,143.262283,42.913036
2030,01643,3.4118234695242284,143.260193,42.917934
2031,01643,2.047094081714537,143.356461,42.902145
2032,01643,2.047094081714537,143.358627,42.910854
2035,01644,33.84284870148374,143.443832,42.934944
2036,01644,19.628852246860568,143.447235,42.925762
2037,01644,19.628852246860568,143.443832,42.934944
2038,01644,12.183425532534146,143.427307,42.929462
2039,01644,12.183425532534146,143.443832,42.934944
2040,01644,10.152854610445123,143.447311,42.924767
2042,01645,76.13780333300849,143.491257,42.797951
2043,01645,44.15992593314492,143.51004,42.796593
2044,01645,13.704804599941527,143.524231,42.809517
2045,01646,55.069187550508765,143.59021,43.122192
2046,01646,34.418242219067984,143.614853,43.121288
2047,01646,6.195283599432236,143.612473,43.117535
2051,01647,39.9091781132366,143.543427,43.252434
2052,01647,35.63319474396125,143.548569,43.239075
2053,01647,10.689958423188372,143.551651,43.245712
2054,01647,6.413975053913024,143.558258,43.240234
2055,01647,6.413975053913024,143.551651,43.245712
2057,01648,104.74670152636892,143.752899,43.472099
2058,01648,37.70881254949282,143.747955,43.4697
2059,01649,52.12726141091815,143.663834,42.814911
2060,01649,9.382907053965269,143.659378,42.812889
2061,01649,9.382907053965269,143.653336,42.804649
2062,01661,38.13105950199311,144.46608,42.996174
2063,01661,16.777666180876967,144.447403,43.019955
2064,01661,13.727181420717521,144.447403,43.019955
2065,01661,6.863590710358761,144.407379,43.013771
2066,01661,6.863590710358761,144.399963,43.005234
