code,capacity_per_k,longitude,latitude
01101,5.492821889965985,141.32077,43.04557
01101,5.214704325917073,141.313889,43.041489
01101,3.9631752876969757,141.351166,43.048534
01101,3.615528332635838,141.377945,43.067467
01101,3.476469550611383,141.303162,43.040977
01101,1.9468229483423745,141.336975,43.037724
01101,1.6687053842934634,141.342178,43.051327
01101,1.6687053842934634,141.335144,43.032005
01101,1.4253525157506666,141.343338,43.03101
01101,1.3558231247384391,141.33905,43.02663
01101,1.0429408651834147,141.321472,43.041077
01102,3.423470182898627,141.348312,43.08131
01102,2.674586080389552,141.352936,43.157307
01102,2.674586080389552,141.352936,43.157307
01102,2.487365054762283,141.338821,43.111572
01102,1.6582433698415224,141.356125,43.164845
01102,1.2303095969791937,141.277618,43.125233
01102,0.8023758241168656,141.374695,43.156506
01102,0.561663076881806,141.34343,43.090126
01103,2.6625885492232744,141.378464,43.104038
01103,2.2692516044516546,141.394867,43.104309
01103,2.2692516044516546,141.386017,43.089886
01103,1.2707808984929265,141.393738,43.083225
01103,1.2102675223742156,141.409821,43.103996
01103,1.2102675223742156,141.397385,43.070854
01103,1.1497541462555048,141.392654,43.094219
01103,0.6959038253651739,141.386307,43.095684
01104,3.785831570776348,141.382156,43.049339
01104,3.785831570776348,141.382156,43.049339
01104,3.710114939360821,141.397614,43.067101
01104,2.7257987309589704,141.429581,43.039066
01104,2.7257987309589704,141.427399,43.03791
01104,2.650082099543444,141.422226,43.042065
01104,2.5365071524201532,141.402344,43.044968
01104,2.120065679634755,141.436325,43.044247
01104,2.044349048219228,141.40834,43.058468
01104,0.5678747356164522,141.409866,43.052036
01105,5.549452314145894,141.404968,43.014557
01105,3.849932542938714,141.422913,43.027454
01105,3.468407696341184,141.418686,43.024864
01105,3.0868828497436533,141.395035,43.032829
01105,2.5319376183290645,141.387054,43.033585
01105,1.734203848170592,141.381989,42.996777
01105,1.734203848170592,141.38974,43.018314
01105,1.4220471554998855,141.396957,43.014015
01105,0.7977337701584724,141.391953,43.032722
01106,8.204314213513928,141.350494,42.992722
01106,7.827585499628085,141.279144,42.960854
01106,6.236953152110079,141.332031,42.968304
01106,4.185874598731597,141.339615,42.959301
01106,2.8463947271374854,141.351318,42.983639
01106,2.17665479134043,141.335098,43.002113
01106,1.5487736015306908,141.34938,42.980751
01107,12.361716037119109,141.312836,43.078579
01107,3.667761901123252,141.259903,43.062157
01107,2.682899909154971,141.272186,43.098137
01107,2.682899909154971,141.272186,43.098137
01107,2.037645500624029,141.272278,43.066425
01107,2.037645500624029,141.294281,43.074291
01107,1.290508817061885,141.257553,43.071659
01107,1.0188227503120144,141.304916,43.097408
01107,0.916940475280813,141.27916,43.07774
01108,4.180229749456168,141.460892,43.035213
01108,3.3240381140253867,141.457642,43.023621
01108,3.3240381140253867,141.457642,43.023621
01108,3.1729454724787773,141.489182,43.048717
01108,2.5685749062923433,141.48291,43.048512
01108,2.5182106924434744,141.458618,43.055832
01108,2.4174822647457357,141.49025,43.051403
01108,1.6116548431638236,141.477524,43.025108
01109,4.679163339391602,141.262222,43.106838
01109,4.679163339391602,141.223343,43.138405
01109,2.807498003634961,141.234543,43.144981
01109,2.807498003634961,141.240723,43.117863
01109,2.386373303089717,141.221863,43.125076
01110,3.787191881169533,141.46106,42.989204
01110,3.534712422424897,141.454926,43.002171
01110,3.534712422424897,141.454926,43.002171
01110,2.2091952640155608,141.432693,43.00795
01110,2.1460753993294017,141.461884,42.97316
01110,2.082955534643243,141.438004,42.983673
01110,1.6411164818401307,141.452713,43.016708
01202,2.125831651361306,140.737747,41.788624
01202,1.9929671731512246,140.730515,41.825996
01202,1.771526376134422,140.753036,41.861607
01202,1.3286447821008163,140.731598,41.77914
01202,1.1957803038907349,140.753296,41.811642
01202,1.062915825680653,140.783005,41.778534
01202,1.0186276662772924,140.733154,41.787708
01202,0.9300513474705716,140.703171,41.764832
01202,0.6421783113487279,140.734146,41.791996
01202,0.6421783113487279,140.742722,41.823109
01202,0.6421783113487279,140.754166,41.787079
01202,0.6421783113487279,140.730576,41.833382
01202,0.6421783113487279,140.717865,41.811069
01202,0.6421783113487279,140.734344,41.792042
01202,0.6421783113487279,140.72438,41.765026
01202,0.6421783113487279,140.766998,41.792019
01202,0.6421783113487279,140.79158,41.796478
01202,0.6421783113487279,140.752243,41.818436
01202,0.6421783113487279,140.734253,41.770802
01202,0.6421783113487279,140.743637,41.835342
01202,0.6421783113487279,140.734146,41.791996
01202,0.6421783113487279,140.763412,41.781136
01202,0.5314579128403265,140.74321,41.806381
01202,0.39859343463024494,141.140244,41.832462
01203,4.34916494753841,140.99826,43.194885
01203,4.050692843295578,141.025894,43.177246
01203,3.752220739052747,140.942703,43.215656
01203,2.942082170393631,140.999603,43.194111
01203,2.942082170393631,140.999603,43.194111
01203,2.558332322081418,141.053635,43.176037
01203,1.7908326254569926,140.973953,43.205936
01204,1.4030657231587518,142.363327,43.772358
01204,1.4030657231587518,142.387604,43.783501
01204,1.0522992923690637,142.44545,43.76469
01204,1.0522992923690637,142.32959,43.786514
01204,0.9295310415926732,142.375443,43.764668
01204,0.8944543985137043,142.408661,43.79356
01204,0.87691607697422,142.448471,43.802784
01204,0.87691607697422,142.327179,43.773312
01204,0.87691607697422,142.3311,43.755116
01204,0.8243011123557669,142.407196,43.754379
01204,0.789224469276798,142.382767,43.762234
01204,0.6839945400398916,142.321045,43.782398
01204,0.6313795754214384,142.37825,43.757187
01204,0.6313795754214384,142.423538,43.763371
01204,0.6138412538819539,142.352798,43.766212
01204,0.5261496461845319,142.373428,43.80983
