,over75_own,over75_with_family,over65_74_own,over65_74_with_family,others
2015年,11.445558453618204,5.210692600513724,12.047055155482573,7.25850846540948,64.03818532497601
2020年,13.37670009150275,5.889240111363179,12.064778155511716,6.825377759556125,61.84390388206623
2025年,15.856524282133941,6.775355363850792,10.522468698954636,5.7090161956286405,61.13663545943199
2030年,16.86768573165976,6.9963141877176005,10.526320217775373,5.354749639483839,60.254930223363424
2035年,16.892516564375377,6.814913938037866,11.94007865662651,5.6281162440235555,58.7243745969367
2040年,17.252105657482026,6.727179355592408,13.941222924854523,6.25573171405409,55.82376034801695
